Abbey 9.29.21,Myers FFRR 9.29.21,FFRR,Chow,9.29.21,,,,,,,
,TSE PhenoMaster V7.7.9 (2021-5214),,,,,,,,,,
Box,Animal No.,Weight [g],Text1,Text2,Text3,,,,,,
1,176,29.9,M,G+FFRR, ,,,,,,
2,177,23.9,M,++FFR, ,,,,,,
3,178,33.5,M,G+FFRR, ,,,,,,
4,179,30.7,M,G+FFRR, ,,,,,,
5,180,19.5,F,++FFR, ,,,,,,
6,181,26.1,F,G+FFRR, ,,,,,,
7,401,29.4,M,G+FFR, ,,,,,,
8,402,29.2,M,G+FFR, ,,,,,,
9,403,30.3,M,G+FFR, ,,,,,,
10,404,20.7,M,++FFR, ,,,,,,
11,405,23.9,M,G+FFR br, ,,,,,,
12,697,22.9,M,++FFR, ,,,,,,
13,698,24.1,M,++FFR, ,,,,,,
14,699,27.7,M,G+FFRR, ,,,,,,
15,700,20.1,M,++FFR, ,,,,,,
16,701,26.6,F,G+FFRR, ,,,,,,
17,702,18.5,F,G+FFRR, ,,,,,,
18,705,17.5,F,++FFR, ,,,,,,
19,706,15.8,F,++FFR, ,,,,,,
,,,,,,,,,,,
Date Time,Animal No.,Box,VO2(3),VCO2(3),RER,H(3),XT+YT,XA,YA,Drink,Feed1
,,,[ml/h],[ml/h],,[kcal/h],[Cnt],[Cnt],[Cnt],[ml],[g]
10/2/2021 11:19,180,5,41,33,0.795,0.198,0,0,0,11.64,15.37
10/2/2021 11:34,180,5,37,31,0.84,0.182,0,0,0,11.64,15.37
10/2/2021 11:49,180,5,34,28,0.839,0.165,0,0,0,11.64,15.37
10/2/2021 12:04,180,5,52,45,0.865,0.254,153,55,38,11.65,15.37
10/2/2021 12:19,180,5,49,41,0.833,0.238,631,332,143,11.73,15.37
10/2/2021 12:34,180,5,42,36,0.855,0.205,0,0,0,11.73,15.37
10/2/2021 12:49,180,5,42,34,0.813,0.203,0,0,0,11.73,15.37
10/2/2021 13:04,180,5,42,34,0.806,0.204,0,0,0,11.73,15.37
10/2/2021 13:19,180,5,43,34,0.793,0.205,0,0,0,11.74,15.37
10/2/2021 13:34,180,5,38,31,0.804,0.183,0,0,0,11.74,15.37
10/2/2021 13:49,180,5,37,31,0.833,0.182,0,0,0,11.74,15.37
10/2/2021 14:04,180,5,38,31,0.811,0.183,0,0,0,11.74,15.37
10/2/2021 14:19,180,5,38,31,0.819,0.182,0,0,0,11.74,15.37
10/2/2021 14:34,180,5,38,31,0.819,0.184,0,0,0,11.74,15.37
10/2/2021 14:49,180,5,49,41,0.844,0.24,346,160,82,11.83,15.37
10/2/2021 15:04,180,5,49,45,0.923,0.241,475,231,94,11.87,15.37
10/2/2021 15:19,180,5,50,46,0.923,0.246,0,0,0,11.87,15.37
10/2/2021 15:34,180,5,38,34,0.894,0.188,0,0,0,11.87,15.39
10/2/2021 15:49,180,5,37,33,0.892,0.183,0,0,0,11.87,15.39
10/2/2021 16:04,180,5,37,32,0.855,0.181,0,0,0,11.88,15.39
10/2/2021 16:19,180,5,36,31,0.874,0.176,0,0,0,11.88,15.39
10/2/2021 16:34,180,5,34,31,0.903,0.168,0,0,0,11.88,15.39
10/2/2021 16:49,180,5,55,48,0.875,0.272,104,41,36,11.92,15.51
10/2/2021 17:04,180,5,43,39,0.887,0.214,0,0,0,11.93,15.51
10/2/2021 17:19,180,5,41,36,0.878,0.201,0,0,0,11.93,15.51
10/2/2021 17:34,180,5,39,35,0.887,0.192,0,0,0,11.93,15.51
10/2/2021 17:49,180,5,48,45,0.94,0.241,124,49,43,11.99,15.51
10/2/2021 18:04,180,5,51,48,0.941,0.253,217,100,70,12.06,15.51
10/2/2021 18:19,180,5,54,51,0.952,0.269,574,308,130,12.14,15.51
10/2/2021 18:34,180,5,60,58,0.97,0.3,468,177,127,12.25,15.59
10/2/2021 18:49,180,5,62,60,0.97,0.309,822,366,241,12.42,16.49
10/2/2021 19:04,180,5,65,62,0.952,0.324,1118,386,352,12.5,16.97
10/2/2021 19:19,180,5,64,63,0.974,0.323,80,0,14,12.5,17.31
10/2/2021 19:34,180,5,46,46,0.994,0.233,10,0,0,12.5,17.31
10/2/2021 19:49,180,5,52,52,0.995,0.262,605,241,146,12.5,17.41
10/2/2021 20:04,180,5,55,54,0.987,0.277,1472,481,528,12.67,17.5
10/2/2021 20:19,180,5,60,58,0.976,0.3,1331,594,330,12.75,17.84
10/2/2021 20:34,180,5,59,58,0.985,0.296,1329,581,346,12.9,17.89
10/2/2021 20:49,180,5,53,53,0.994,0.269,198,85,55,12.9,17.93
10/2/2021 21:04,180,5,48,48,1.009,0.242,14,0,0,12.9,17.93
10/2/2021 21:19,180,5,49,48,0.975,0.246,18,0,0,12.9,17.93
10/2/2021 21:34,180,5,46,45,0.976,0.233,77,49,10,12.9,17.93
10/2/2021 21:49,180,5,42,43,1.032,0.214,0,0,0,12.9,17.93
10/2/2021 22:04,180,5,52,54,1.039,0.262,673,215,243,12.99,17.96
10/2/2021 22:19,180,5,52,52,1.001,0.261,1004,204,410,13.17,18.44
10/2/2021 22:34,180,5,64,64,1.009,0.323,899,192,260,13.23,19.2
10/2/2021 22:49,180,5,64,67,1.035,0.327,1263,511,317,13.3,19.46
10/2/2021 23:04,180,5,55,56,1.022,0.278,570,106,254,13.5,19.48
10/2/2021 23:19,180,5,55,55,0.998,0.276,55,7,2,13.5,19.5
10/2/2021 23:34,180,5,40,43,1.071,0.205,8,1,0,13.5,19.5
10/2/2021 23:49,180,5,41,41,1,0.206,25,2,0,13.5,19.5
10/3/2021 0:04,180,5,38,37,0.974,0.192,30,5,0,13.5,19.5
10/3/2021 0:19,180,5,39,39,0.986,0.198,196,62,12,13.5,19.5
10/3/2021 0:34,180,5,53,54,1.014,0.268,2870,1240,787,13.61,19.54
10/3/2021 0:49,180,5,60,61,1.011,0.304,1623,541,562,13.83,20.74
10/3/2021 1:04,180,5,56,57,1.026,0.282,1729,687,552,13.88,21.01
10/3/2021 1:19,180,5,57,60,1.041,0.292,1932,636,683,14.01,21.01
10/3/2021 1:34,180,5,61,63,1.025,0.312,1788,923,332,14.08,21.12
10/3/2021 1:49,180,5,60,60,1.008,0.303,1214,705,134,14.14,21.2
10/3/2021 2:04,180,5,61,60,0.975,0.307,288,79,86,14.14,21.2
10/3/2021 2:19,180,5,57,58,1.016,0.289,0,0,0,14.14,21.2
10/3/2021 2:34,180,5,41,39,0.959,0.205,0,0,0,14.14,21.2
10/3/2021 2:49,180,5,36,34,0.952,0.18,162,90,34,14.14,21.27
10/3/2021 3:04,180,5,50,48,0.957,0.252,2379,1121,642,14.14,21.27
10/3/2021 3:19,180,5,51,51,0.99,0.259,176,70,55,14.19,21.59
10/3/2021 3:34,180,5,43,45,1.043,0.218,0,0,0,14.19,21.59
10/3/2021 3:49,180,5,38,36,0.937,0.191,0,0,0,14.19,21.59
10/3/2021 4:04,180,5,38,35,0.908,0.189,0,0,0,14.19,21.59
10/3/2021 4:19,180,5,37,34,0.929,0.184,0,0,0,14.19,21.59
10/3/2021 4:34,180,5,36,33,0.899,0.18,159,77,37,14.19,21.59
10/3/2021 4:49,180,5,47,46,0.975,0.237,1063,497,246,14.4,21.79
10/3/2021 5:04,180,5,52,55,1.048,0.267,935,411,232,14.61,22.8
10/3/2021 5:19,180,5,53,54,1.015,0.267,1567,579,492,14.62,22.85
10/3/2021 5:34,180,5,56,55,0.987,0.281,695,167,263,14.7,23.09
10/3/2021 5:49,180,5,50,50,1.003,0.251,702,187,298,14.73,23.09
10/3/2021 6:04,180,5,54,53,0.977,0.272,1184,436,359,14.76,23.09
10/3/2021 6:19,180,5,55,51,0.932,0.271,1152,476,303,14.76,23.09
10/3/2021 6:34,180,5,56,54,0.967,0.281,1030,223,466,14.77,23.09
10/3/2021 6:49,180,5,52,50,0.957,0.259,16,0,0,14.77,23.09
10/3/2021 7:04,180,5,37,36,0.983,0.184,0,0,0,14.77,23.09
10/3/2021 7:19,180,5,38,34,0.894,0.188,0,0,0,14.77,23.09
10/3/2021 7:34,180,5,39,33,0.851,0.189,0,0,0,14.77,23.09
10/3/2021 7:49,180,5,39,34,0.865,0.191,3,0,0,14.77,23.09
10/3/2021 8:04,180,5,34,32,0.927,0.17,0,0,0,14.77,23.09
10/3/2021 8:19,180,5,35,32,0.919,0.172,1,0,0,14.77,23.09
10/3/2021 8:34,180,5,44,42,0.952,0.22,1242,395,443,14.91,23.09
10/3/2021 8:49,180,5,51,47,0.914,0.252,533,324,21,14.91,23.24
10/3/2021 9:04,180,5,41,37,0.905,0.202,0,0,0,14.92,23.24
10/3/2021 9:19,180,5,40,36,0.903,0.198,0,0,0,14.92,23.24
10/3/2021 9:34,180,5,36,32,0.882,0.177,0,0,0,14.92,23.24
10/3/2021 9:49,180,5,35,30,0.863,0.17,0,0,0,14.92,23.24
10/3/2021 10:04,180,5,33,29,0.867,0.163,0,0,0,14.92,23.24
10/3/2021 10:19,180,5,35,29,0.831,0.169,0,0,0,14.92,23.24
10/3/2021 10:34,180,5,35,30,0.851,0.171,169,85,58,14.92,23.24
10/3/2021 10:49,180,5,46,41,0.897,0.226,286,139,64,14.94,23.24
10/3/2021 11:04,180,5,38,33,0.858,0.186,0,0,0,14.94,23.24
10/3/2021 11:19,180,5,37,33,0.899,0.183,0,0,0,14.94,23.24
10/3/2021 11:34,180,5,39,33,0.83,0.192,0,0,0,14.94,23.24
10/3/2021 11:49,180,5,35,30,0.863,0.17,0,0,0,14.94,23.24
10/3/2021 12:04,180,5,35,30,0.879,0.17,0,0,0,14.95,23.24
10/3/2021 12:19,180,5,37,30,0.819,0.177,0,0,0,14.95,23.24
10/3/2021 12:34,180,5,33,29,0.867,0.163,0,0,0,14.95,23.24
10/3/2021 12:49,180,5,37,31,0.826,0.18,0,0,0,14.95,23.24
10/3/2021 13:04,180,5,57,51,0.902,0.28,1255,581,333,15.11,23.24
10/3/2021 13:19,180,5,49,44,0.894,0.242,692,366,126,15.11,23.24
10/3/2021 13:34,180,5,51,45,0.887,0.25,0,0,0,15.11,23.24
10/3/2021 13:49,180,5,39,34,0.873,0.189,0,0,0,15.11,23.24
10/3/2021 14:04,180,5,41,34,0.835,0.197,0,0,0,15.11,23.24
10/3/2021 14:19,180,5,39,33,0.851,0.191,0,0,0,15.11,23.24
10/3/2021 14:34,180,5,34,30,0.863,0.168,0,0,0,15.11,23.24
10/3/2021 14:49,180,5,35,29,0.823,0.172,0,0,0,15.11,23.24
10/3/2021 15:04,180,5,37,30,0.819,0.18,0,0,0,15.11,23.24
10/3/2021 15:19,180,5,36,31,0.859,0.177,0,0,0,15.11,23.24
10/3/2021 15:34,180,5,35,28,0.823,0.168,0,0,0,15.11,23.24
10/3/2021 15:49,180,5,42,38,0.919,0.206,0,0,0,15.11,23.24
10/3/2021 16:04,180,5,57,50,0.876,0.281,614,315,143,15.24,23.24
10/3/2021 16:19,180,5,57,48,0.845,0.279,292,152,60,15.26,23.25
10/3/2021 16:34,180,5,45,41,0.903,0.224,0,0,0,15.26,23.25
10/3/2021 16:49,180,5,36,33,0.899,0.18,0,0,0,15.26,23.25
10/3/2021 17:04,180,5,39,37,0.959,0.194,6,0,2,15.26,23.25
10/3/2021 17:19,180,5,40,36,0.91,0.197,0,0,0,15.26,23.25
10/3/2021 17:34,180,5,37,35,0.944,0.183,34,16,10,15.26,23.25
10/3/2021 17:49,180,5,45,45,0.994,0.229,275,135,53,15.34,23.81
10/3/2021 18:04,180,5,46,45,0.976,0.233,84,36,19,15.38,23.81
10/3/2021 18:19,180,5,47,44,0.94,0.235,291,139,86,15.43,23.96
10/3/2021 18:34,180,5,61,60,0.984,0.305,314,134,90,15.63,23.96
10/3/2021 18:49,180,5,55,55,1.003,0.276,187,103,43,15.71,23.96
10/3/2021 19:04,180,5,43,44,1.017,0.217,1,1,0,15.71,23.96
10/3/2021 19:19,180,5,44,43,0.984,0.22,388,209,67,15.72,23.96
10/3/2021 19:34,180,5,54,58,1.063,0.277,934,462,129,15.95,24.32
10/3/2021 19:49,180,5,61,65,1.051,0.314,783,367,63,16.08,24.61
10/3/2021 20:04,180,5,63,63,1.01,0.318,909,341,166,16.11,24.66
10/3/2021 20:19,180,5,63,63,1.001,0.318,25,3,0,16.11,24.66
10/3/2021 20:34,180,5,49,48,0.975,0.248,32,4,0,16.11,24.66
10/3/2021 20:49,180,5,49,49,0.998,0.249,48,3,0,16.11,24.66
10/3/2021 21:04,180,5,61,60,0.994,0.306,1175,642,176,16.26,25.31
10/3/2021 21:19,180,5,59,59,1.004,0.296,335,128,60,16.46,25.44
10/3/2021 21:34,180,5,53,51,0.978,0.264,170,56,37,16.47,25.44
10/3/2021 21:49,180,5,45,46,1.031,0.227,39,0,2,16.48,25.44
10/3/2021 22:04,180,5,53,55,1.037,0.269,285,51,43,16.48,25.44
10/3/2021 22:19,180,5,57,57,1.007,0.288,1686,842,323,16.52,25.52
10/3/2021 22:34,180,5,58,59,1.004,0.295,1377,599,229,16.71,25.76
10/3/2021 22:49,180,5,63,65,1.032,0.318,1162,478,214,16.93,26.8
10/3/2021 23:04,180,5,65,66,1.017,0.329,1237,541,177,17,26.8
10/3/2021 23:19,180,5,66,66,1.007,0.332,1287,668,226,17.08,29.96
10/3/2021 23:34,180,5,63,61,0.974,0.314,1126,527,269,17.13,30.11
10/3/2021 23:49,180,5,61,59,0.961,0.308,1395,567,380,17.15,30.17
10/4/2021 0:04,180,5,59,58,0.976,0.297,1496,643,402,17.27,30.17
10/4/2021 0:19,180,5,56,57,1.027,0.284,1709,803,392,17.32,30.17
10/4/2021 0:34,180,5,56,54,0.967,0.281,1568,587,499,17.34,30.28
10/4/2021 0:49,180,5,49,46,0.929,0.245,0,0,0,17.34,30.28
10/4/2021 1:04,180,5,39,37,0.959,0.195,0,0,0,17.34,30.28
10/4/2021 1:19,180,5,40,37,0.924,0.199,0,0,0,17.34,30.28
10/4/2021 1:34,180,5,40,36,0.896,0.199,0,0,0,17.34,30.28
10/4/2021 1:49,180,5,40,38,0.959,0.198,51,31,12,17.34,30.29
10/4/2021 2:04,180,5,39,35,0.894,0.192,0,0,0,17.34,30.29
10/4/2021 2:19,180,5,37,33,0.907,0.182,0,0,0,17.34,30.29
10/4/2021 2:34,180,5,49,45,0.913,0.243,1691,959,292,17.38,30.47
10/4/2021 2:49,180,5,57,51,0.903,0.282,519,211,163,17.45,30.5
10/4/2021 3:04,180,5,45,40,0.889,0.219,0,0,0,17.45,30.5
10/4/2021 3:19,180,5,40,38,0.966,0.199,0,0,0,17.45,30.5
10/4/2021 3:34,180,5,41,36,0.889,0.2,0,0,0,17.45,30.5
10/4/2021 3:49,180,5,46,41,0.909,0.226,90,33,33,17.45,30.77
10/4/2021 4:04,180,5,54,50,0.936,0.268,2021,1153,400,17.73,30.82
10/4/2021 4:19,180,5,54,52,0.957,0.27,651,311,155,17.85,30.82
10/4/2021 4:34,180,5,57,55,0.962,0.285,449,137,157,17.87,30.82
10/4/2021 4:49,180,5,44,43,0.984,0.22,0,0,0,17.87,30.82
10/4/2021 5:04,180,5,36,35,0.96,0.182,0,0,0,17.87,30.82
10/4/2021 5:19,180,5,38,37,0.959,0.192,1035,486,236,17.93,30.82
10/4/2021 5:34,180,5,53,53,1.005,0.268,1065,357,364,18.17,31.18
10/4/2021 5:49,180,5,61,59,0.98,0.305,673,345,102,18.17,31.4
10/4/2021 6:04,180,5,62,63,1.014,0.315,1306,558,363,18.34,31.47
10/4/2021 6:19,180,5,55,55,1.002,0.277,925,290,315,18.39,31.72
10/4/2021 6:34,180,5,55,53,0.962,0.275,1320,632,271,18.39,31.72
10/4/2021 6:49,180,5,55,53,0.962,0.275,612,305,124,18.39,31.72
10/4/2021 7:04,180,5,44,41,0.933,0.219,0,0,0,18.39,31.72
10/4/2021 7:19,180,5,42,39,0.938,0.208,0,0,0,18.39,31.72
10/4/2021 7:34,180,5,33,31,0.943,0.163,0,0,0,18.39,31.72
10/4/2021 7:49,180,5,32,32,0.987,0.162,0,0,0,18.39,31.72
10/4/2021 8:04,180,5,32,30,0.943,0.16,0,0,0,18.39,31.72
10/4/2021 8:19,180,5,32,31,0.969,0.163,0,0,0,18.39,31.72
10/4/2021 8:34,180,5,33,31,0.943,0.163,0,0,0,18.39,31.72
10/4/2021 8:49,180,5,44,41,0.933,0.219,557,148,247,18.39,31.72
10/4/2021 9:04,180,5,49,47,0.952,0.245,638,225,221,18.45,31.72
10/4/2021 9:19,180,5,47,48,1.003,0.24,67,40,13,18.45,31.72
10/4/2021 9:34,180,5,39,36,0.917,0.195,0,0,0,18.46,31.72
10/4/2021 9:49,180,5,36,32,0.889,0.176,0,0,0,18.46,31.72
10/4/2021 10:04,180,5,34,31,0.895,0.17,0,0,0,18.46,31.72
10/4/2021 10:19,180,5,34,30,0.887,0.168,171,94,43,18.46,31.72
10/4/2021 10:34,180,5,53,48,0.899,0.262,358,153,97,18.47,31.72
10/4/2021 10:49,180,5,45,41,0.908,0.221,0,0,0,18.47,31.72
10/4/2021 11:04,180,5,37,33,0.892,0.183,0,0,0,18.47,31.72
10/4/2021 11:19,180,5,37,33,0.892,0.181,0,0,0,18.47,31.72
10/4/2021 11:34,180,5,34,31,0.903,0.17,0,0,0,18.47,31.72
10/4/2021 11:49,180,5,36,30,0.836,0.174,0,0,0,18.47,31.72
10/4/2021 12:04,180,5,37,31,0.833,0.18,0,0,0,18.47,31.72
10/4/2021 12:19,180,5,37,31,0.84,0.181,0,0,0,18.47,31.72
10/4/2021 12:34,180,5,42,35,0.832,0.206,151,72,51,18.47,31.72
10/4/2021 12:49,180,5,38,31,0.826,0.182,0,0,0,18.47,31.72
10/4/2021 13:04,180,5,34,28,0.816,0.167,0,0,0,18.47,31.72
10/4/2021 13:19,180,5,34,28,0.823,0.166,0,0,0,18.47,31.72
10/4/2021 13:34,180,5,38,30,0.79,0.184,0,0,0,18.47,31.72
10/4/2021 13:49,180,5,35,29,0.831,0.168,0,0,0,18.47,31.72
10/4/2021 14:04,180,5,37,32,0.848,0.182,0,0,0,18.47,31.72
10/4/2021 14:19,180,5,38,32,0.833,0.184,0,0,0,18.47,31.72
10/4/2021 14:34,180,5,44,38,0.876,0.215,225,61,98,18.58,31.72
10/4/2021 14:49,180,5,47,44,0.917,0.235,142,43,65,18.65,31.72
10/4/2021 15:04,180,5,42,36,0.852,0.206,0,0,0,18.65,31.72
10/4/2021 15:19,180,5,42,35,0.826,0.204,0,0,0,18.65,31.72
10/4/2021 15:34,180,5,40,33,0.828,0.196,0,0,0,18.66,31.72
10/4/2021 15:49,180,5,38,32,0.848,0.187,0,0,0,18.66,31.72
10/4/2021 16:04,180,5,37,31,0.826,0.182,0,0,0,18.66,31.72
10/4/2021 16:19,180,5,37,31,0.833,0.179,0,0,0,18.66,31.72
10/4/2021 16:34,180,5,44,39,0.883,0.218,0,0,0,18.66,31.72
10/4/2021 16:49,180,5,38,34,0.88,0.188,0,0,0,18.66,31.72
10/4/2021 17:04,180,5,37,33,0.884,0.182,0,0,0,18.66,31.72
10/4/2021 17:19,180,5,43,35,0.813,0.206,0,0,0,18.66,31.93
10/4/2021 17:34,180,5,52,46,0.881,0.256,188,82,59,18.77,31.96
10/4/2021 17:49,180,5,44,40,0.914,0.218,0,0,0,18.77,31.96
10/4/2021 18:04,180,5,58,54,0.918,0.29,311,162,71,18.77,31.96
10/4/2021 18:19,180,5,58,53,0.918,0.287,82,34,29,18.91,32.07
10/4/2021 18:34,180,5,60,55,0.906,0.298,1153,472,376,19.11,32.42
10/4/2021 18:49,180,5,66,63,0.952,0.329,134,60,26,19.14,32.42
10/4/2021 19:04,180,5,53,52,0.983,0.266,134,65,33,19.24,32.42
10/4/2021 19:19,180,5,53,50,0.931,0.265,0,0,0,19.24,32.42
10/4/2021 19:34,180,5,59,59,1.009,0.297,581,284,119,19.42,32.72
10/4/2021 19:49,180,5,63,64,1.019,0.317,641,192,255,19.52,33.06
10/4/2021 20:04,180,5,53,53,0.994,0.269,239,94,71,19.53,33.07
10/4/2021 20:19,180,5,57,55,0.962,0.287,801,241,304,19.62,33.07
10/4/2021 20:34,180,5,64,63,0.991,0.32,1634,311,680,19.79,33.07
10/4/2021 20:49,180,5,66,64,0.968,0.333,1359,218,594,19.87,33.43
10/4/2021 21:04,180,5,61,60,0.988,0.307,531,95,215,19.89,33.43
10/4/2021 21:19,180,5,61,58,0.947,0.303,321,86,131,19.94,33.43
10/4/2021 21:34,180,5,51,50,0.98,0.255,77,3,13,19.94,33.43
10/4/2021 21:49,180,5,45,44,0.977,0.227,101,52,29,19.95,39.19
10/4/2021 22:04,180,5,48,48,0.993,0.241,251,58,78,20.01,39.23
10/4/2021 22:19,180,5,47,49,1.038,0.24,1509,418,653,20.19,39.58
10/4/2021 22:34,180,5,59,59,0.995,0.297,2930,1246,877,20.26,39.85
10/4/2021 22:49,180,5,65,66,1.012,0.328,1942,559,868,20.36,39.95
10/4/2021 23:04,180,5,62,62,1.001,0.315,2266,864,770,20.49,39.95
10/4/2021 23:19,180,5,66,67,1.015,0.332,1242,332,560,20.61,40.06
10/4/2021 23:34,180,5,58,60,1.038,0.296,852,349,230,20.7,40.19
10/4/2021 23:49,180,5,59,60,1.009,0.298,669,268,146,20.78,40.34
10/5/2021 0:04,180,5,51,49,0.968,0.256,197,104,23,20.8,40.34
10/5/2021 0:19,180,5,48,47,0.981,0.241,34,4,0,20.8,40.34
10/5/2021 0:34,180,5,42,41,0.978,0.212,15,5,0,20.8,40.34
10/5/2021 0:49,180,5,39,37,0.952,0.196,384,204,0,20.8,40.34
10/5/2021 1:04,180,5,39,38,0.98,0.196,0,0,0,20.8,40.34
10/5/2021 1:19,180,5,39,38,0.988,0.196,1335,749,265,20.8,40.34
10/5/2021 1:34,180,5,51,53,1.05,0.259,767,255,239,20.82,40.34
10/5/2021 1:49,180,5,59,60,1.024,0.298,902,365,253,20.82,40.34
10/5/2021 2:04,180,5,52,52,1.001,0.262,210,84,69,20.9,40.34
10/5/2021 2:19,180,5,51,49,0.952,0.254,57,23,0,20.9,40.34
10/5/2021 2:34,180,5,43,40,0.914,0.215,30,1,0,20.9,40.34
10/5/2021 2:49,180,5,40,36,0.891,0.199,258,113,64,20.9,40.34
10/5/2021 3:04,180,5,45,44,0.964,0.227,92,4,0,20.9,40.34
10/5/2021 3:19,180,5,41,39,0.952,0.205,209,50,58,20.97,40.35
10/5/2021 3:34,180,5,48,47,0.987,0.241,1179,366,437,21.09,40.69
10/5/2021 3:49,180,5,50,47,0.946,0.25,2,1,0,21.1,40.69
10/5/2021 4:04,180,5,41,38,0.925,0.204,0,0,0,21.1,40.69
10/5/2021 4:19,180,5,40,38,0.945,0.201,166,54,40,21.1,40.69
10/5/2021 4:34,180,5,49,47,0.958,0.245,1218,269,547,21.31,40.69
10/5/2021 4:49,180,5,60,58,0.97,0.3,2045,914,578,21.46,40.69
10/5/2021 5:04,180,5,55,55,1.008,0.277,812,187,274,21.67,40.69
10/5/2021 5:19,180,5,57,56,0.987,0.285,1100,623,143,21.75,40.69
10/5/2021 5:34,180,5,55,53,0.967,0.274,790,351,170,21.83,40.69
10/5/2021 5:49,180,5,58,60,1.029,0.296,965,499,152,21.95,40.69
10/5/2021 6:04,180,5,56,56,1.007,0.283,440,177,130,21.95,40.69
10/5/2021 6:19,180,5,54,53,0.977,0.271,0,0,0,21.95,40.69
10/5/2021 6:34,180,5,41,38,0.918,0.205,0,0,0,21.95,40.69
10/5/2021 6:49,180,5,39,38,0.966,0.197,93,51,26,21.95,40.69
10/5/2021 7:04,180,5,35,35,0.992,0.176,0,0,0,21.95,40.69
10/5/2021 7:19,180,5,37,35,0.952,0.184,0,0,0,21.95,40.69
10/5/2021 7:34,180,5,33,33,0.994,0.165,0,0,0,21.95,40.69
10/5/2021 7:49,180,5,30,32,1.062,0.156,0,0,0,21.95,40.69
10/5/2021 8:04,180,5,45,44,0.989,0.225,583,197,213,22.06,40.69
10/5/2021 8:19,180,5,47,47,0.993,0.236,991,471,204,22.06,40.69
10/5/2021 8:34,180,5,50,51,1.013,0.255,298,0,0,22.06,40.69
10/5/2021 8:49,180,5,35,35,1,0.177,113,0,0,22.07,40.69
10/5/2021 9:04,180,5,33,34,1.01,0.168,21,0,0,22.07,40.69
10/5/2021 9:19,180,5,33,33,1.002,0.165,4,0,0,22.07,40.69
10/5/2021 9:34,180,5,33,32,0.977,0.167,0,0,0,22.07,40.69
10/5/2021 9:49,180,5,48,47,0.975,0.241,267,125,63,22.07,40.69
10/5/2021 10:04,180,5,40,38,0.932,0.2,0,0,0,22.07,40.69
10/5/2021 10:19,180,5,41,38,0.932,0.202,0,0,0,22.07,40.69
10/5/2021 10:34,180,5,35,32,0.913,0.176,0,0,0,22.07,40.69
10/5/2021 10:49,180,5,34,32,0.927,0.169,0,0,0,22.07,40.69
10/5/2021 11:04,180,5,55,49,0.895,0.269,948,486,239,22.07,40.69
10/5/2021 11:19,180,5,58,53,0.909,0.286,286,88,111,22.23,40.69
10/5/2021 11:34,180,5,57,57,0.996,0.286,560,259,122,22.35,40.78
10/5/2021 11:49,180,5,54,53,0.972,0.273,76,27,14,22.35,40.78
10/5/2021 12:04,180,5,39,39,0.988,0.198,0,0,0,22.35,40.78
10/5/2021 12:19,180,5,40,38,0.952,0.198,68,41,15,22.35,40.78
10/5/2021 12:34,180,5,36,36,0.99,0.183,0,0,0,22.35,40.78
10/5/2021 12:49,180,5,36,34,0.937,0.18,0,0,0,22.35,40.79
10/5/2021 13:04,180,5,32,32,1.013,0.161,0,0,0,22.35,40.8
10/5/2021 13:19,180,5,32,32,0.995,0.16,0,0,0,22.35,40.8
10/5/2021 13:34,180,5,42,41,0.978,0.212,0,0,0,22.35,40.81
10/5/2021 13:49,180,5,37,36,0.96,0.186,104,63,19,22.35,40.81
10/5/2021 14:04,180,5,38,39,1.009,0.194,0,0,0,22.35,40.81
10/5/2021 14:19,180,5,39,37,0.952,0.193,0,0,0,22.35,40.81
10/5/2021 14:34,180,5,37,33,0.899,0.18,0,0,0,22.35,40.81
10/5/2021 14:49,180,5,35,32,0.92,0.174,0,0,0,22.35,40.81
10/5/2021 15:04,180,5,38,33,0.892,0.185,0,0,0,22.35,40.81
10/5/2021 15:19,180,5,36,32,0.905,0.177,0,0,0,22.35,40.81
10/5/2021 15:34,180,5,43,42,0.971,0.217,254,108,71,22.57,40.95
10/5/2021 15:49,180,5,49,48,0.98,0.247,0,0,0,22.57,40.95
10/5/2021 16:04,180,5,36,35,0.983,0.182,0,0,0,22.58,40.95
10/5/2021 16:19,180,5,36,35,0.967,0.181,68,34,17,22.58,40.95
10/5/2021 16:34,180,5,38,39,1.016,0.194,5,0,2,22.64,40.95
10/5/2021 16:49,180,5,37,36,0.975,0.184,0,0,0,22.64,40.95
10/5/2021 17:04,180,5,36,35,0.967,0.182,0,0,0,22.64,40.95
10/5/2021 17:19,180,5,36,34,0.929,0.181,57,37,6,22.64,40.95
10/5/2021 17:34,180,5,48,48,0.998,0.244,22,1,8,22.68,40.95
10/5/2021 17:49,180,5,42,44,1.05,0.212,48,1,28,22.69,40.95
10/5/2021 18:04,180,5,45,47,1.037,0.229,169,83,39,22.74,40.95
10/5/2021 18:19,180,5,46,46,1,0.233,417,160,136,22.95,41.16
10/5/2021 18:34,180,5,60,61,1.013,0.304,460,131,164,23.09,41.29
10/5/2021 18:49,180,5,63,65,1.032,0.32,663,131,269,23.18,41.36
10/5/2021 19:04,180,5,62,64,1.028,0.316,186,55,49,23.19,41.36
10/5/2021 19:19,180,5,58,60,1.022,0.296,234,37,100,23.24,41.36
10/5/2021 19:34,180,5,55,58,1.043,0.282,150,0,20,23.25,41.36
10/5/2021 19:49,180,5,56,58,1.048,0.284,428,63,210,23.5,41.75
